trace_id,category,difficulty,question_preview,incomplete_answer,safety_violations,unrealistic_tools,overcomplicated_solution,missing_context,poor_quality_tips
99dc456f-fabf-41e2-8524-17ffb2d3d822,appliance_repair,beginner,How can I unclog my kitchen sink drain?,,,,,,
cc4794c8-1552-40e6-bffd-818294baa9c0,appliance_repair,beginner,How can I fix a refrigerator that is not cooling?,,,,,,
2e07833f-3fc5-441a-8a5c-fec9e2aecb99,appliance_repair,intermediate,How can I replace the heating element in my electric oven?,,,,,,
01e9a6b3-3178-44c3-b53f-595d0c7d2160,appliance_repair,intermediate,How can I replace the heating element in my electric oven?,,,,,,
53f025e8-8a06-4250-b1ae-4467657c82b0,appliance_repair,advanced,How can I replace the heating element in my electric oven?,,,,,,
6fd64434-b004-4c45-8e49-00bd79464654,appliance_repair,advanced,How do I replace the door seal on my front-loading washing machine?,,,,,,
04a22533-1ef0-4d74-99a9-3e6390bede44,plumbing_repair,beginner,How can I fix a leaky kitchen faucet?,,,,,,
ee6a4668-68eb-4c79-8b6c-04ac9496d3d3,plumbing_repair,beginner,How do I unclog a bathroom sink drain?,,,,,,
61fad2ad-c6a7-49d8-8dbc-3e4c2e67cdba,plumbing_repair,intermediate,How do I replace a leaky faucet in my kitchen?,,,,,,
4bd1847b-7b09-448e-a579-d28a5ea3d150,plumbing_repair,intermediate,How do I repair a leaking shower valve?,,,,,,
